metric,value
missing_title,3
missing_creator,166
missing_description,91
missing_language,211
missing_rights,443
missing_isShownBy,443
missing_aggregation,0
invalid_language_codes,199
invalid_rights_uris,0
nonstandard_dc_type,575
languages_distribution:en,3
languages_distribution:und,2
languages_distribution:ger,4
languages_distribution:eng,12
languages_distribution:grc,1
languages_distribution:ita,1
languages_distribution:English,2
languages_distribution:Lietuvių,1
languages_distribution:sv,1
languages_distribution:Undetermined,1
languages_distribution:spa,100
languages_distribution:gre,4
languages_distribution:de,24
languages_distribution:glg,2
languages_distribution:eng/fr/it,1
languages_distribution:fr,1
languages_distribution:ro,4
languages_distribution:Deutsch,2
languages_distribution:fre,36
languages_distribution:lat,1
languages_distribution:no,1
languages_distribution:français,1
languages_distribution:zxx,1
languages_distribution:Français,1
languages_distribution:nl,3
languages_distribution:French,4
years_distribution:2006,1
years_distribution:2011,1
years_distribution:1995,1
years_distribution:2008,1
years_distribution:1873,1
years_distribution:1971 [],1
years_distribution:Third to fifth century A.D. (context),1
years_distribution:from: 0200 to: 0500,1
years_distribution:1981-1990,1
years_distribution:1970 (um),1
years_distribution:2015,1
years_distribution:1877-1881,1
years_distribution:1823,1
years_distribution:1851,3
years_distribution:1777,2
years_distribution:1793,1
years_distribution:1700,1
years_distribution:1985,1
years_distribution:1845,1
years_distribution:1896,2
years_distribution:1770,3
years_distribution:1961,1
years_distribution:1659,1
years_distribution:1846,6
years_distribution:1847,3
years_distribution:1868,1
years_distribution:1859,5
years_distribution:1850,3
years_distribution:1860,2
years_distribution:1858,1
years_distribution:1852,2
years_distribution:1862,2
years_distribution:1856,1
years_distribution:1853,2
years_distribution:1861,1
years_distribution:1863,1
years_distribution:1849,1
years_distribution:1883,2
years_distribution:1871,1
years_distribution:1908,2
years_distribution:1909,2
years_distribution:1911,2
years_distribution:1924,1
years_distribution:1865,1
years_distribution:1907,1
years_distribution:1916,1
years_distribution:2014,1
years_distribution:1919-1933 (Besessen),2
years_distribution:1930 (Veröffentlicht),2
years_distribution:1933 (Verschollen),2
years_distribution:1947 (nastanak),1
years_distribution:1621,7
years_distribution:2. Hälfte 16. Jahrhundert,1
years_distribution:nach 1890,3
years_distribution:nach 1900,1
years_distribution:nach 1896,1
years_distribution:nach 1897,2
years_distribution:nach 1903,1
years_distribution:nach 1894,1
years_distribution:um 1878,3
years_distribution:um 1865,1
years_distribution:1893,1
years_distribution:Vor 1950 (Aufgenommen),1
years_distribution:1958 (Hergestellt),6
years_distribution:1889-1890 (Ausgefertigt),1
years_distribution:1889-1890 (Empfangen),1
years_distribution:1950 (?) (Hergestellt),1
years_distribution:Vor 1918 (Hergestellt),1
years_distribution:1939 (?) (Hergestellt),1
years_distribution:1880-1902 (?) (Hergestellt),1
years_distribution:1980er Jahre (Hergestellt),5
years_distribution:1990er Jahre (Hergestellt),2
years_distribution:1966 (Hergestellt),2
years_distribution:Vor 1945 (Aufgenommen),3
years_distribution:1934-1940 (?) (Hergestellt),1
years_distribution:1920-1940 (Ausgefertigt),1
years_distribution:1700-1800 (Hergestellt),1
years_distribution:1900 (?) (Aufgenommen),4
years_distribution:1956 (Hergestellt),1
years_distribution:1960 (?) (Hergestellt),3
years_distribution:1957 (Hergestellt),2
years_distribution:1951 (Hergestellt),2
years_distribution:1956 (?) (Hergestellt),1
years_distribution:1927 (Hergestellt),1
years_distribution:1950-1970 (?) (Hergestellt),1
years_distribution:1949 (Hergestellt),2
years_distribution:1960 (Abgeschickt),1
years_distribution:1880 (?) (Aufgenommen),2
years_distribution:1910 (?) (Hergestellt),2
years_distribution:1965 (?) (Hergestellt),2
years_distribution:1984 (Ausgefertigt),1
years_distribution:1970 (Hergestellt),1
years_distribution:19. Jahrhundert (Hergestellt),4
years_distribution:1954 (Ausgefertigt),1
years_distribution:1881 (Hergestellt),1
years_distribution:1956-1969 (Ausgefertigt),1
years_distribution:1803-1819 (Hergestellt),1
years_distribution:1900-1940 (?) (Hergestellt),1
years_distribution:1987-1989 (Hergestellt),3
years_distribution:1940-1950er Jahre (Hergestellt),1
years_distribution:1952 (Hergestellt),1
years_distribution:Vor 1776 (Hergestellt),2
years_distribution:Nach 1935 (Aufgenommen),1
years_distribution:1900-1930 (?) (Hergestellt),1
years_distribution:1932 (?) (Hergestellt),1
years_distribution:1940 (Empfangen),1
years_distribution:1933-1939 (?) (Hergestellt),1
years_distribution:1909-1919 (Verfasst),1
years_distribution:1865-1976 (?) (Hergestellt),1
years_distribution:1938 (Hergestellt),1
years_distribution:1984 (Hergestellt),1
years_distribution:1932 (Hergestellt),1
years_distribution:1972 (Ausgefertigt),1
years_distribution:Januar 2023 (Aufgenommen),2
years_distribution:1700-1950 (Wurde genutzt),1
years_distribution:1960 (Hergestellt),1
years_distribution:1929 (Hergestellt),1
years_distribution:1940 (Hergestellt),1
years_distribution:1950 (Hergestellt),1
years_distribution:1900-1920 (?) (Hergestellt),1
years_distribution:1957 (Gedruckt),1
years_distribution:1959 (Ausgefertigt),1
years_distribution:1977 (Gedruckt),1
years_distribution:1955 (Hergestellt),1
years_distribution:1896 (Hergestellt),1
years_distribution:1945,1
years_distribution:1786,1
years_distribution:1784,2
years_distribution:1811,1
years_distribution:1837,2
years_distribution:1830,1
years_distribution:1825,1
years_distribution:1930-1940,1
years_distribution:1884,1
years_distribution:1977,1
years_distribution:1934,1
years_distribution:1707-1715,1
years_distribution:1800-1850,1
years_distribution:1821,1
years_distribution:1880-1889,1
years_distribution:1841,1
years_distribution: 1924/1925,2
years_distribution: 1557/1557,2
years_distribution: 1501/1600,4
years_distribution: 1532/1532,7
years_distribution: 1529/1529,1
years_distribution: 1550/1550,1
years_distribution: 1864/1864,1
years_distribution: /,1
years_distribution: 1600/1600,1
years_distribution: 1751/1772,1
years_distribution: 1701/1800,1
years_distribution:incertain 1701/1800,2
years_distribution: 1964/1964,1
years_distribution: 1970/1970,1
years_distribution: 201/1800,1
years_distribution:1891,1
years_distribution:1755,1
years_distribution:1773,2
years_distribution:1767,1
years_distribution:1787,2
years_distribution:1768,1
years_distribution:1769,1
years_distribution:1772,1
years_distribution:1765,1
years_distribution:1776,1
years_distribution:1778,1
years_distribution:1781-1793,1
years_distribution:1844-1846,1
years_distribution:1705,1
years_distribution:1831,1
years_distribution:1762,1
years_distribution:1951,1
years_distribution:1864,1
years_distribution:2023,1
years_distribution:2021,1
years_distribution:enne.1940,2
years_distribution:1979,1
years_distribution:1996,1
years_distribution:24.9.1968,1
years_distribution:2007-1998,1
years_distribution:1929,1
years_distribution:1991,1
years_distribution:2009,1
years_distribution:1920,1
years_distribution:1931,1
years_distribution:1967,1
years_distribution:1905,1
years_distribution:1930,1
years_distribution:1919,1
years_distribution:1913,1
years_distribution:1933,1
years_distribution:7 mai 2011,1
years_distribution:30.10.2009,1
years_distribution:27.11.2015,1
years_distribution:12.09.2011,1
years_distribution:12.04.1967,1
years_distribution:1962,1
years_distribution:1914,1
years_distribution:1914-1918,1
years_distribution:1918,1
years_distribution:1915,1
years_distribution:1915-1917,1
years_distribution:1917,1
years_distribution:1802.05.29,1
